NumLinha;Tipo BW  /PBI;NomeLink;linkarquivo;QualPagina;TipoBW;AbaNome;#
37;BW;Notas Fiscais;VM_VMCNF01_06854_003;Contabil Notas;Query;Contabil Notas;#
38;BW;Faturamento por tipo de venda;VM_DS_03_00000_001;Contabil Notas;Query;Contabil Notas;#
39;BW;Preço de Transferência ABUB;ABUB_PAF_C_06854_006;Contabil Geral;Query;Contabil Geral;#
40;BW;NF vendas;VM_VMCNF01_00000_000;Contabil Notas;Query;Contabil Notas;#
41;BW;Embarques;VM_GL2_M_00000_001;Contabil Geral;Query;Contabil Geral;#
42;BW;Relação NF Faturamento;VM_VMCNF01_05718_009;Contabil Notas;Query;Contabil Geral;#
43;BW;Saldos por conta e centro de custos – New Ledger;VM_U_FIGLN_57200_002;Contabil Geral;Query;Contabil Geral;#
44;BW;Cubo fiscal “Análises Gerais”;VM_U_FIGLN_57200_002;Contabil Notas;Query;Contabil Geral;#
45;BW;Notas Fiscais -  Controle de movimentos;VM_VMCNF01_05718_009;Contabil Notas;Query;Contabil Geral;#
46;BW;PS - Imobilizado em Andamento;VM_VMFIRA01_00000_001;Contabil Projetos;Query;Contabil Projetos;#
47;BW;PS - CAPEX—Movimentação;VM_VMFIRA01_00000_002;Contabil Projetos;Query;Contabil Projetos;#
48;BW;Balancete por centro de custo;VM_U_FIGLN_57200_002;Contabil Geral;Query;Contabil Geral;#
49;BW;Notas fiscais de Saída;VM_VMCNF01_06854_001;Contabil Notas;Query;Contabil Notas;#
50;BW;Faturamento;VM_VMCNF01_05718_009;Contabil Notas;Query;Contabil Notas;#
51;BW;Desempenho Operacional – Por Ligas;VM_PAF_C_00000_003_22;Contabil Geral;Query;Contabil Geral;#
52;BW;Custos por Liga - ABUB;ABUB_PAF_C_06854_006;Contabil Geral;Query;Contabil Geral;#
53;BW;Faturados e Não Embarcados;VM_WD_EXSD_I_00000_01;Contabil Geral;Template;Contabil Geral;#
54;BW;Análise de Despesas por Centro de Custos;VM_CCA_00000_007_2;Contabil Geral;Query;Contabil Geral;#
55;BW;Notas Fiscais – CFOP – NCM – Parceiro – Lote;VM_VMCNF01_06854_003;Contabil Notas;Query;Contabil Geral;#
56;BW;Livro Fiscal;VM_VMCNF01_05718_009;Contabil Notas;Query;Contabil Geral;#
57;BW;IMOBILIZADO (AA)-Detalhado;VM_VMAARP01_00000_002;Contabil Imobilizado;Query;Contabil Imobilizado;#
58;BW;IMOBILIZADO (AA)-3 col – Mês/Ano fiscal inf.  Mês/Ano fiscal inf. ano anterior e 012 do ano anterior;VM_VMAARP01_00000_001;Contabil Imobilizado;Query;Contabil Imobilizado;#
59;BW;IMOBILIZADO (AA)-Posições Acumuladas;VM_VMAARP01_00000_003;Contabil Imobilizado;Query;Contabil Imobilizado;#
60;BW;IMOBILIZADO (AA)-Período 12 Meses;VM_VMAARP01_00000_004;Contabil Imobilizado;Query;Contabil Imobilizado;#
61;BW;Refugos;VM_WD_QM_001;Gestao da Quaidade;Template;Gestao da Quaidade;#
62;BW;Retrabalho;VM_WD_QM_002;Gestao da Qualidade;Template;Gestao da Qualidade;#
63;BW;Custo da não qualidade - Perdas por sucatamento;VM_PC_M02_00000_001;Gestao da Qualidade;Query;Gestao da Qualidade;#
64;BW;Custo da não qualidade - Perdas por sucatamento analítico;VM_PC_M02_00000_002;Gestao da Qualidade;Query;Gestao da Qualidade;#
65;BW;Rendimento - Ordens Finalizadas;VM_WT_PPRE_002;Gestao da Qualidade;Template;Gestao da Qualidade;#
66;BW;Rendimento - Ordens em processo;VM_PPRE_C_00000_005;Gestao da Qualidade;Query;Gestao da Qualidade;#
